Success.
pybullet build time: Oct  8 2020 00:10:46
<marl_scalability.baselines.dqn_discrete.dqn_discrete.policy.DiscreteDQNPolicy object at 0x7f50151b1b50>
╭────────────────────┬────────────────────┬────────────────────┬────────────────────┬────────────────────╮
│            Episode │           Sim/Wall │        Total Steps │          Steps/Sec │              Score │
│           158/1000 │               0.29 │                 40 │               2.89 │        000: 0.1442 │
│           159/1000 │               0.28 │                 64 │               2.75 │        000: 0.4200 │
│           160/1000 │               0.27 │                 28 │               2.73 │       000: -0.2432 │
│           161/1000 │               0.28 │                 71 │               2.79 │        000: 1.0968 │
│           162/1000 │               0.28 │                229 │               2.75 │        000: 5.1305 │
│           163/1000 │               0.27 │                 63 │               2.71 │        000: 0.8606 │
│           164/1000 │               0.28 │                183 │               2.77 │        000: 4.4247 │
│           165/1000 │               0.24 │                 10 │               2.40 │       000: -0.7726 │
│           166/1000 │               0.28 │                 94 │               2.78 │        000: 1.1608 │
│           167/1000 │               0.28 │                 59 │               2.84 │        000: 0.7032 │
│           168/1000 │               0.27 │                182 │               2.72 │        000: 2.7775 │
│           169/1000 │               0.28 │                116 │               2.80 │        000: 2.4049 │
│           170/1000 │               0.27 │                 46 │               2.71 │       000: -5.6948 │
│           171/1000 │               0.28 │                 33 │               2.82 │       000: -1.1556 │
│           172/1000 │               0.27 │                110 │               2.74 │       000: -1.1409 │
│           173/1000 │               0.28 │                 91 │               2.79 │        000: 1.6958 │
│           174/1000 │               0.28 │                 65 │               2.77 │        000: 0.7237 │
│           175/1000 │               0.27 │                 52 │               2.72 │        000: 0.5353 │
│           176/1000 │               0.27 │                109 │               2.75 │        000: 1.3191 │
│           177/1000 │               0.28 │                 65 │               2.78 │       000: -5.9748 │
│           178/1000 │               0.27 │                 71 │               2.70 │        000: 1.0571 │
│           179/1000 │               0.29 │                 44 │               2.87 │        000: 0.2722 │
│           180/1000 │               0.27 │                106 │               2.70 │        000: 2.1115 │
│           181/1000 │               0.28 │                131 │               2.78 │        000: 2.8404 │
│           182/1000 │               0.27 │                187 │               2.72 │        000: 3.7496 │
│           183/1000 │               0.28 │                 74 │               2.80 │        000: 0.6379 │
│           184/1000 │               0.28 │                 89 │               2.76 │        000: 1.0583 │
│           185/1000 │               0.28 │                 67 │               2.81 │        000: 0.8812 │
│           186/1000 │               0.27 │                100 │               2.72 │        000: 2.0145 │
│           187/1000 │               0.27 │                 63 │               2.73 │      000: -12.1327 │
│           188/1000 │               0.29 │                 51 │               2.88 │       000: -7.4218 │
│           189/1000 │               0.27 │                 87 │               2.69 │        000: 1.5849 │
│           190/1000 │               0.28 │                 87 │               2.80 │        000: 0.7859 │
│           191/1000 │               0.27 │                161 │               2.74 │        000: 3.7805 │
│           192/1000 │               0.28 │                 41 │               2.80 │       000: -0.8204 │
│           193/1000 │               0.27 │                 24 │               2.67 │       000: -0.3147 │
│           194/1000 │               0.28 │                 66 │               2.76 │        000: 0.9012 │
│           195/1000 │               0.27 │                 92 │               2.72 │        000: 1.7874 │
│           196/1000 │               0.28 │                 86 │               2.75 │        000: 1.6130 │
│           197/1000 │               0.28 │                 70 │               2.77 │        000: 1.0648 │
│           198/1000 │               0.27 │                105 │               2.73 │        000: 1.8280 │
│           199/1000 │               0.27 │                119 │               2.71 │        000: 2.5467 │
│           200/1000 │               0.27 │                 48 │               2.75 │        000: 0.3160 │
│           201/1000 │               0.28 │                183 │               2.77 │       000: -0.1588 │
│           202/1000 │               0.27 │                 32 │               2.71 │       000: -0.0742 │
│           203/1000 │               0.30 │                 27 │               2.97 │       000: -0.9479 │
│           204/1000 │               0.27 │                 90 │               2.70 │        000: 1.3003 │
│           205/1000 │               0.28 │                 29 │               2.76 │       000: -0.1858 │
│           206/1000 │               0.28 │                 61 │               2.77 │        000: 0.3392 │
│           207/1000 │               0.28 │                 59 │               2.79 │        000: 0.7526 │
│           208/1000 │               0.28 │                126 │               2.76 │        000: 1.9801 │
│           209/1000 │               0.27 │                 36 │               2.68 │        000: 0.0313 │
│           210/1000 │               0.27 │                 27 │               2.69 │       000: -1.6794 │
│           211/1000 │               0.28 │                 50 │               2.79 │        000: 0.4414 │
│           212/1000 │               0.27 │                 93 │               2.75 │        000: 1.4022 │
│           213/1000 │               0.27 │                 65 │               2.73 │        000: 0.9168 │
│           214/1000 │               0.27 │                157 │               2.74 │        000: 2.8864 │
│           215/1000 │               0.27 │                 52 │               2.73 │       000: -1.1259 │
│           216/1000 │               0.28 │                 98 │               2.77 │        000: 1.8538 │
│           217/1000 │               0.27 │                 60 │               2.70 │        000: 0.7721 │
│           218/1000 │               0.28 │                100 │               2.81 │        000: 1.0094 │
│           219/1000 │               0.27 │                 52 │               2.73 │        000: 0.0933 │
│           220/1000 │               0.28 │                106 │               2.75 │        000: 2.1636 │
│           221/1000 │               0.28 │                 57 │               2.78 │       000: -1.1390 │
│           222/1000 │               0.27 │                 41 │               2.73 │        000: 0.1891 │
│           223/1000 │               0.27 │                 46 │               2.66 │       000: -0.4021 │
│           224/1000 │               0.28 │                128 │               2.78 │        000: 2.7875 │
│           225/1000 │               0.27 │                102 │               2.69 │        000: 1.4749 │
│           226/1000 │               0.28 │                152 │               2.79 │       000: -5.1266 │
│           227/1000 │               0.27 │                 61 │               2.70 │        000: 0.7956 │
│           228/1000 │               0.27 │                101 │               2.73 │        000: 2.0052 │
│           229/1000 │               0.27 │                 59 │               2.69 │        000: 0.0090 │
│           230/1000 │               0.27 │                101 │               2.73 │        000: 1.9886 │
│           231/1000 │               0.27 │                204 │               2.73 │        000: 4.1844 │
│           232/1000 │               0.28 │                 68 │               2.83 │        000: 0.9986 │
│           233/1000 │               0.27 │                208 │               2.73 │        000: 4.4841 │
│           234/1000 │               0.29 │                 30 │               2.86 │       000: -1.0273 │
│           235/1000 │               0.27 │                 76 │               2.73 │        000: 1.1816 │
│           236/1000 │               0.27 │                 48 │               2.71 │        000: 0.2135 │
│           237/1000 │               0.28 │                 50 │               2.78 │       000: -0.4275 │
│           238/1000 │               0.27 │                 72 │               2.73 │        000: 0.4925 │
│           239/1000 │               0.28 │                 51 │               2.83 │        000: 0.4069 │
│           240/1000 │               0.27 │                101 │               2.74 │        000: 1.9413 │
│           241/1000 │               0.27 │                 83 │               2.71 │        000: 1.0703 │
│           242/1000 │               0.29 │                 31 │               2.95 │       000: -2.2237 │
│           243/1000 │               0.28 │                101 │               2.75 │        000: 1.6298 │
│           244/1000 │               0.27 │                 12 │               2.65 │       000: -0.7663 │
│           245/1000 │               0.27 │                179 │               2.71 │        000: 3.9816 │
│           246/1000 │               0.28 │                 79 │               2.79 │        000: 1.3088 │
│           247/1000 │               0.27 │                 39 │               2.70 │       000: -3.8365 │
│           248/1000 │               0.28 │                188 │               2.77 │        000: 4.6150 │
│           249/1000 │               0.27 │                 65 │               2.73 │        000: 0.9194 │
│           250/1000 │               0.27 │                126 │               2.69 │        000: 1.1584 │
│           251/1000 │               0.29 │                 64 │               2.86 │       000: -0.4080 │
│           252/1000 │               0.27 │                201 │               2.74 │        000: 4.4636 │
│           253/1000 │               0.26 │                 39 │               2.63 │        000: 0.1243 │
│           254/1000 │               0.27 │                 37 │               2.72 │        000: 0.0657 │
│           255/1000 │               0.27 │                 69 │               2.75 │        000: 1.0341 │
│           256/1000 │               0.29 │                 35 │               2.86 │       000: -0.7855 │
│           257/1000 │               0.26 │                 47 │               2.65 │        000: 0.3683 │
│           258/1000 │               0.27 │                182 │               2.75 │        000: 3.3178 │
│           259/1000 │               0.25 │                 15 │               2.48 │       000: -0.5807 │
│           260/1000 │               0.28 │                 82 │               2.75 │        000: 1.4306 │
│           261/1000 │               0.27 │                193 │               2.74 │        000: 3.7885 │
│           262/1000 │               0.28 │                 61 │               2.76 │       000: -0.1175 │
│           263/1000 │               0.27 │                217 │               2.73 │        000: 4.9552 │
│           264/1000 │               0.31 │                 11 │               3.12 │       000: -0.7669 │
│           265/1000 │               0.28 │                 33 │               2.80 │       000: -2.7614 │
│           266/1000 │               0.27 │                 71 │               2.69 │        000: 1.0885 │
│           267/1000 │               0.27 │                100 │               2.71 │        000: 2.0021 │
│           268/1000 │               0.28 │                 74 │               2.77 │        000: 1.1763 │
│           269/1000 │               0.29 │                 35 │               2.89 │       000: -2.9320 │
