         72185222 function calls (70457580 primitive calls) in 50.626 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      560    0.001    0.000    0.040    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:4337(reindex)
      140    0.002    0.000    0.040    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/construction.py:333(_homogenize)
       70    0.000    0.000    0.040    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:7849(append)
      560    0.001    0.000    0.040    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:4453(fillna)
    49782    0.039    0.000    0.039    0.000 {method 'dot' of 'numpy.ndarray' objects}
       70    0.000    0.000    0.039    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/reshape/concat.py:82(concat)
      510    0.001    0.000    0.039    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:31(__init__)
   127540    0.028    0.000    0.039    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:30(_check)
      560    0.003    0.000    0.039    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:4564(reindex)
      560    0.003    0.000    0.039    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:6255(fillna)
     2744    0.017    0.000    0.039    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:161(_mean)
    45900    0.039    0.000    0.039    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:145(clip_actions)
      350    0.002    0.000    0.039    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/indexes/base.py:3142(get_indexer)
      510    0.001    0.000    0.039    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:32(__init__)
   274682    0.038    0.000    0.038    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2040(_clip_dispatcher)
     8400    0.012    0.000    0.038    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:5467(__setattr__)
    10544    0.038    0.000    0.038    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      510    0.002    0.000    0.037    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:23(__init__)
       70    0.006    0.000    0.037    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:278(<listcomp>)
      210    0.000    0.000    0.036    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/indexes/base.py:4946(get_indexer_for)
      210    0.001    0.000    0.036    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/indexes/base.py:3478(reindex)
     4196    0.013    0.000    0.035    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:78(is_reachable_from)
    19320    0.013    0.000    0.035    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1470(is_extension_array_dtype)
     4270    0.016    0.000    0.033    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:5411(__finalize__)
     3080    0.003    0.000    0.032    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/construction.py:554(_try_cast)
   232021    0.032    0.000    0.032    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:158(heading_at)
       60    0.000    0.000    0.032    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/common/abstract.py:39(plan)
      840    0.005    0.000    0.032    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/algorithms.py:1661(take_nd)
       60    0.000    0.000    0.032    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/abstract.py:65(act)
      140    0.000    0.000    0.032    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/construction.py:502(to_arrays)
   390680    0.031    0.000    0.031    0.000 {method 'append' of 'list' objects}
     2676    0.002    0.000    0.031    0.000 <__array_function__ internals>:2(vstack)
      140    0.002    0.000    0.031    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/construction.py:613(_list_of_dict_to_arrays)
     2676    0.002    0.000    0.031    0.000 <__array_function__ internals>:2(tile)
